Eruption Number,Volcano Name,Eruption Category,Evidence Type,Evidence Method,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day
10970,"Negro, Cerro",Confirmed,Observations,Reported,2.0,1999,8.0,5.0,1999.0,8.0,7.0
16156,Raung,Confirmed,Observations,Reported,2.0,1999,7.0,30.0,,,
14377,"Fournaise, Piton de la",Confirmed,Observations,Seismicity,0.0,1999,7.0,19.0,1999.0,10.0,23.0
12679,Katla,Uncertain,Uncertain,Unspecified,0.0,1999,7.0,17.0,1999.0,8.0,15.0
16175,Ijen,Confirmed,Observations,Reported,1.0,1999,6.0,28.0,1999.0,6.0,28.0
16808,Mayon,Confirmed,Observations,Reported,3.0,1999,6.0,22.0,2000.0,3.0,19.0
16944,Suwanosejima,Confirmed,Observations,Reported,1.0,1999,6.0,15.0,1999.0,6.0,30.0
14717,Monowai,Confirmed,Observations,Hydrophonic,0.0,1999,6.0,6.0,1999.0,6.0,11.0
16350,Iliwerung,Confirmed,Observations,Reported,0.0,1999,5.0,22.0,1999.0,9.0,16.0
10732,Fuego,Confirmed,Observations,Reported,2.0,1999,5.0,21.0,2000.0,12.0,9.0
10934,Telica,Confirmed,Observations,Reported,2.0,1999,5.0,21.0,2000.0,9.0,6.0
15205,Tinakula,Confirmed,Observations,Reported,1.0,1999,5.0,16.0,,,
20419,Wrangell,Uncertain,Observations,Reported,1.0,1999,5.0,14.0,1999.0,5.0,14.0
